Survey,Year,Quarter,Area,SubArea,AphiaID,Species,LngtClass,CPUE_number_per_hour,DateofCalculation
NS-IBTS,2007,1,1,44F0,127379,Entelurus aequoreus,0,0,20170602
NS-IBTS,2007,1,1,44F0,127387,Syngnathus acus,0,0,20170602
NS-IBTS,2007,1,1,44F0,127389,Syngnathus rostellatus,0,0,20170602
NS-IBTS,2007,1,1,44F0,127393,Syngnathus typhle,0,0,20170602
NS-IBTS,2007,1,1,44F1,127379,Entelurus aequoreus,370,1,20170602
NS-IBTS,2007,1,1,44F1,127379,Entelurus aequoreus,410,1,20170602
NS-IBTS,2007,1,1,44F1,127387,Syngnathus acus,0,0,20170602
NS-IBTS,2007,1,1,44F1,127389,Syngnathus rostellatus,0,0,20170602
NS-IBTS,2007,1,1,44F1,127393,Syngnathus typhle,0,0,20170602
NS-IBTS,2007,1,1,45F0,127379,Entelurus aequoreus,250,1,20170602
NS-IBTS,2007,1,1,45F0,127379,Entelurus aequoreus,260,1,20170602
NS-IBTS,2007,1,1,45F0,127379,Entelurus aequoreus,290,1,20170602
NS-IBTS,2007,1,1,45F0,127379,Entelurus aequoreus,340,1,20170602
NS-IBTS,2007,1,1,45F0,127379,Entelurus aequoreus,430,1,20170602
NS-IBTS,2007,1,1,45F0,127387,Syngnathus acus,0,0,20170602
NS-IBTS,2007,1,1,45F0,127389,Syngnathus rostellatus,0,0,20170602
NS-IBTS,2007,1,1,45F0,127393,Syngnathus typhle,0,0,20170602
NS-IBTS,2007,1,1,45F1,127379,Entelurus aequoreus,0,0,20170602
NS-IBTS,2007,1,1,45F1,127379,Entelurus aequoreus,360,1,20170602
NS-IBTS,2007,1,1,45F1,127387,Syngnathus acus,0,0,20170602
NS-IBTS,2007,1,1,45F1,127389,Syngnathus rostellatus,0,0,20170602
NS-IBTS,2007,1,1,45F1,127393,Syngnathus typhle,0,0,20170602
NS-IBTS,2007,1,1,45F2,127379,Entelurus aequoreus,340,2,20170602
NS-IBTS,2007,1,1,45F2,127379,Entelurus aequoreus,400,2,20170602
NS-IBTS,2007,1,1,45F2,127387,Syngnathus acus,0,0,20170602
NS-IBTS,2007,1,1,45F2,127389,Syngnathus rostellatus,0,0,20170602
NS-IBTS,2007,1,1,45F2,127393,Syngnathus typhle,0,0,20170602
NS-IBTS,2007,1,1,45F3,127379,Entelurus aequoreus,260,1.935,20170602
NS-IBTS,2007,1,1,45F3,127379,Entelurus aequoreus,360,1,20170602
NS-IBTS,2007,1,1,45F3,127387,Syngnathus acus,0,0,20170602
