F.Type,Sample ID,dN15,% Nitrogen,dC13,% Carbon,CN
Body,50,17.96,13.6,-17,43.75,3.75
Body,51,22.52,14.34,-15.59,44.22,3.6
Body,52,15.69,14.17,-16.16,44.66,3.68
Body,53,16.9,14.44,-18.99,46.38,3.75
Body,54,18.38,13.2,-15.95,40.68,3.6
Body,55,17.39,14.91,-15.31,46.75,3.66
Body,56,16.14,13.46,-16.5,42.88,3.72
Body,57,15.7,14.19,-16.61,44.27,3.64
Body,58,15.19,13.08,-16.59,40.8,3.64
Body,59,15.91,14.8,-16.73,46.05,3.63
Body,60,17.37,9.97,-15.62,31.73,3.72
Body,62,16.62,14.44,-16.38,44.85,3.63
Body,63,17.74,13.82,-15.92,42.78,3.61
Body,64,18.23,13.51,-16.49,41.96,3.62
Body,65,18.69,13.9,-16.33,43.26,3.63
Body,66,16.57,14.35,-16.33,44.74,3.64
