F.Type,Sample ID,dN15,% Nitrogen,dC13,% Carbon,CN
Secondary,50,18.01,12.86,-17.16,41.94,3.81
Secondary,51,16.29,20.74,-16.11,64.5,3.63
Secondary,52,15.94,11.81,-16.43,37.43,3.7
Secondary,53,16.07,13.63,-17,45.09,3.86
Secondary,54,15.89,14.12,-17.12,44.81,3.7
Secondary,55,16.89,13.92,-16.65,43.97,3.69
Secondary,56,25.83,14.04,-16.96,45.49,3.78
Secondary,57,17.48,14.07,-16.14,44.18,3.66
Secondary,58,15.66,14.39,-16.57,45.71,3.71
Secondary,59,16.13,14.27,-17.31,45.54,3.73
Secondary,60,15.82,13.44,-17.21,43,3.73
Secondary,62,16.52,13.72,-16.48,43.35,3.69
Secondary,63,16.3,14.06,-17,44.35,3.68
Secondary,64,16.36,14.03,-16.78,44.72,3.72
Secondary,65,16.2,13.57,-16.76,43.03,3.7
Secondary,66,25.58,14.2,-17.58,45.91,3.77
