SubArea,Year,Quarter,Long ,Lat
5.00E+09,2008,1,-1.5,60.75
5.00E+10,2008,1,-0.5,60.75
50F0,2008,1,0.5,60.75
50F1,2008,1,1.5,60.75
50F2,2008,1,2.5,60.75
4.90E+10,2008,1,-0.5,60.25
49F0,2008,1,0.5,60.25
49F1,2008,1,1.5,60.25
49F2,2008,1,2.5,60.25
49F3,2008,1,3.5,60.25
49F4,2008,1,4.5,60.25
49F5,2008,1,5.5,60.25
49F6,2008,1,6.5,60.25
49F7,2008,1,7.5,60.25
4.80E+10,2008,1,-0.5,59.75
48F0,2008,1,0.5,59.75
48F1,2008,1,1.5,59.75
48F2,2008,1,2.5,59.75
48F3,2008,1,3.5,59.75
48F4,2008,1,4.5,59.75
48F5,2008,1,5.5,59.75
48F6,2008,1,6.5,59.75
4.70E+09,2008,1,-1.5,59.25
4.70E+10,2008,1,-0.5,59.25
47F0,2008,1,0.5,59.25
47F1,2008,1,1.5,59.25
47F2,2008,1,2.5,59.25
47F3,2008,1,3.5,59.25
47F4,2008,1,4.5,59.25
47F5,2008,1,5.5,59.25
47F6,2008,1,6.5,59.25
4.60E+08,2008,1,-2.5,58.75
4.60E+09,2008,1,-1.5,58.75
4.60E+10,2008,1,-0.5,58.75
46F0,2008,1,0.5,58.75
46F1,2008,1,1.5,58.75
46F2,2008,1,2.5,58.75
46F3,2008,1,3.5,58.75
46F4,2008,1,4.5,58.75
46F5,2008,1,5.5,58.75
46F6,2008,1,6.5,58.75
4.50E+07,2008,1,-3.5,58.25
4.50E+08,2008,1,-2.5,58.25
4.50E+09,2008,1,-1.5,58.25
4.50E+10,2008,1,-0.5,58.25
45F0,2008,1,0.5,58.25
45F1,2008,1,1.5,58.25
45F2,2008,1,2.5,58.25
45F3,2008,1,3.5,58.25
45F4,2008,1,4.5,58.25
45F5,2008,1,5.5,58.25
45F6,2008,1,6.5,58.25
45F7,2008,1,7.5,58.25
4.40E+07,2008,1,-3.5,57.75
4.40E+08,2008,1,-2.5,57.75
4.40E+09,2008,1,-1.5,57.75
4.40E+10,2008,1,-0.5,57.75
44F0,2008,1,0.5,57.75
44F1,2008,1,1.5,57.75
44F2,2008,1,2.5,57.75
44F3,2008,1,3.5,57.75
44F4,2008,1,4.5,57.75
44F5,2008,1,5.5,57.75
44F6,2008,1,6.5,57.75
44F7,2008,1,7.5,57.75
4.30E+08,2008,1,-2.5,57.25
4.30E+09,2008,1,-1.5,57.25
4.30E+10,2008,1,-0.5,57.25
43F0,2008,1,0.5,57.25
