"Latdecdeg"	"Longdecdeg"	"dC13"	"dN15"	"Lat"	"Long"
"1"	51.82	3.62	-17.8519175548999	15.4	51.82	3.62
"2"	52.25	1.89	-17.0519175548999	9.3	52.25	1.89
"3"	53.15	2.8	NA	13.275	53.15	2.8
"4"	53.95	0.27	-17.7566531620788	10	53.95	0.27
"5"	54.53	2.65	-18.0519175548999	8.9	54.53	2.65
"6"	54.75	0.25	-17.5674637232088	10.85	54.75	0.25
"7"	54.93	-0.3	-16.6595162764781	10.2	54.93	-0.3
"8"	55	-1.4	NA	9.64	55	-1.4
"9"	55.13	-1.33	-16.3799116782047	14.225	55.13	-1.33
"10"	55.61	-0.8	-18.360997138584	10.3666666666667	55.61	-0.8
"11"	55.69	2.28	-18.3646452105652	9.8	55.69	2.28
"12"	55.73	2.77	-18.4595162764781	8.5	55.73	2.77
"13"	56.73	3.59	-18.1460959418398	7.5	56.73	3.59
"14"	56.75	1.46	-17.9519175548999	9.1	56.75	1.46
"15"	57.02	-1.77	-18.1628743000058	9.76666666666667	57.02	-1.77
"16"	57.88	-0.29	-18.1339590734252	9.8	57.88	-0.29
"17"	58.03	-1.2	-18.2544014722267	10.3	58.03	-1.2
"18"	58.09	4.82	-17.378367295045	9.1	58.09	4.82
"19"	58.24	-0.5	-18.4749484562149	9.4	58.24	-0.5
"20"	58.24	1.45	-17.9595162764781	8.5	58.24	1.45
"21"	59.04	-2.04	-18.0566531620788	8.4	59.04	-2.04
"22"	59.19	3.39	-19.0348209308046	8.7	59.19	3.39
"23"	59.2	0.9	-19.8460959418398	7.9	59.2	0.9
"24"	59.22	-0.49	-18.6254403603459	7.4	59.22	-0.49
"25"	59.3	1.67	-18.1749484562149	7.6	59.3	1.67
"26"	60.01	-0.49	-18.6300031294642	7.76666666666667	60.01	-0.49
"27"	60.25	2.11	-18.3933591359354	6.4	60.25	2.11
"28"	60.29	0.63	-21.1380299050483	7.85	60.29	0.63
"29"	61.04	2.67	-18.978367295045	7.5	61.04	2.67
"30"	61.05	-1.17	-18.4952141511865	6.86666666666667	61.05	-1.17
"31"	61.21	-0.34	-18.2595162764781	6.9	61.21	-0.34
"32"	61.27	0.52	-18.7595162764781	7	61.27	0.52
