n,logger,Ring,Breast,Cheek,Secondary,Date,Month,Longsm2,Lat60sm2,Period
3644,6555,EW44528,120,121,122,16/07/07,July,-4.12,56.21840781,Autumn
3645,6555,EW44528,120,121,122,16/07/07,July,-3.3475,56.10725885,Autumn
3646,6555,EW44528,120,121,122,17/07/07,July,-2.61,55.67213128,Autumn
3647,6555,EW44528,120,121,122,18/07/07,July,-2.5575,54.95371829,Autumn
3648,6555,EW44528,120,121,122,19/07/07,July,-2.8575,54.67159944,Autumn
3649,6555,EW44528,120,121,122,19/07/07,July,-3.065,54.97694842,Autumn
3650,6555,EW44528,120,121,122,20/07/07,July,-2.635,55.68337334,Autumn
3651,6555,EW44528,120,121,122,21/07/07,July,-2.2975,55.92634654,Autumn
3652,6555,EW44528,120,121,122,21/07/07,July,-3.005,55.90081067,Autumn
3653,6555,EW44528,120,121,122,22/07/07,July,-3.3325,56.57309754,Autumn
3654,6555,EW44528,120,121,122,23/07/07,July,-3.1075,57.01090801,Autumn
3655,6555,EW44528,120,121,122,23/07/07,July,-3.38,56.79736815,Autumn
3656,6555,EW44528,120,121,122,24/07/07,July,-3.285,56.77645799,Autumn
3657,6555,EW44528,120,121,122,24/07/07,July,-2.5625,57.09672206,Autumn
3658,6555,EW44528,120,121,122,25/07/07,July,-2.315,57.3647905,Autumn
3659,6555,EW44528,120,121,122,25/07/07,July,-2.4175,57.43211239,Autumn
3660,6555,EW44528,120,121,122,26/07/07,July,-1.9725,57.51757503,Autumn
3661,6555,EW44528,120,121,122,26/07/07,July,-1.4925,57.49599073,Autumn
3662,6555,EW44528,120,121,122,27/07/07,July,-1.4975,57.1973159,Autumn
3663,6555,EW44528,120,121,122,28/07/07,July,-1.365,56.88799166,Autumn
3664,6555,EW44528,120,121,122,28/07/07,July,-1.3975,56.77185248,Autumn
3665,6555,EW44528,120,121,122,29/07/07,July,-2.31,56.74417919,Autumn
3666,6555,EW44528,120,121,122,29/07/07,July,-3.3075,56.55713728,Autumn
3667,6555,EW44528,120,121,122,30/07/07,July,-3.415,56.26029018,Autumn
3668,6555,EW44528,120,121,122,30/07/07,July,-3.0275,56.05191477,Autumn
3669,6555,EW44528,120,121,122,31/07/07,July,-2.5675,55.9294108,Autumn
3670,6555,EW44528,120,121,122,31/07/07,July,-2.4525,55.89807127,Autumn
3671,6555,EW44528,120,121,122,01/08/07,August,-2.77,56.08849193,Autumn
3672,6555,EW44528,120,121,122,01/08/07,August,-2.78,56.37017299,Autumn
3673,6555,EW44528,120,121,122,02/08/07,August,-3.0575,56.24418986,Autumn
3674,6555,EW44528,120,121,122,02/08/07,August,-3.7925,55.63713144,Autumn
3675,6555,EW44528,120,121,122,03/08/07,August,-3.55,55.16557705,Autumn
3676,6555,EW44528,120,121,122,03/08/07,August,-2.9825,55.19817825,Autumn
3677,6555,EW44528,120,121,122,04/08/07,August,-3.505,55.44489258,Autumn
3678,6555,EW44528,120,121,122,04/08/07,August,-4.465,55.53974611,Autumn
3680,6555,EW44528,120,121,122,06/08/07,August,-4.595,55.99588738,Autumn
3681,6555,EW44528,120,121,122,07/08/07,August,-3.56,56.27571553,Autumn
3682,6555,EW44528,120,121,122,07/08/07,August,-2.8825,56.56071841,Autumn
3683,6555,EW44528,120,121,122,08/08/07,August,-3.49,56.77409632,Autumn
3684,6555,EW44528,120,121,122,09/08/07,August,-3.7875,56.71733429,Autumn
3685,6555,EW44528,120,121,122,09/08/07,August,-2.7675,56.9467385,Autumn
3686,6555,EW44528,120,121,122,10/08/07,August,-2.5825,56.83835827,Autumn
3687,6555,EW44528,120,121,122,11/08/07,August,-3.7875,55.64293548,Autumn
3689,6555,EW44528,120,121,122,14/08/07,August,-3.78,55.35553213,Autumn
3690,6555,EW44528,120,121,122,14/08/07,August,-2.38,54.94193912,Autumn
3691,6555,EW44528,120,121,122,15/08/07,August,-1.955,55.18611513,Autumn
3692,6555,EW44528,120,121,122,15/08/07,August,-2.29,55.60396425,Autumn
3693,6555,EW44528,120,121,122,16/08/07,August,-3.0975,56.03238641,Autumn
3694,6555,EW44528,120,121,122,16/08/07,August,-3.475,56.33668225,Autumn
3695,6555,EW44528,120,121,122,17/08/07,August,-3.33,56.07080743,Autumn
3696,6555,EW44528,120,121,122,17/08/07,August,-2.9675,55.3024811,Autumn
3697,6555,EW44528,120,121,122,18/08/07,August,-2.325,55.13106615,Autumn
3698,6555,EW44528,120,121,122,19/08/07,August,-2.105,55.92442218,Autumn
3699,6555,EW44528,120,121,122,20/08/07,August,-2.2775,56.27192663,Autumn
3700,6555,EW44528,120,121,122,20/08/07,August,-2.6675,55.81085908,Autumn
3701,6555,EW44528,120,121,122,21/08/07,August,-2.99,55.52655335,Autumn
3702,6555,EW44528,120,121,122,21/08/07,August,-3.0975,55.62081028,Autumn
3703,6555,EW44528,120,121,122,22/08/07,August,-3.175,55.91110235,Autumn
3704,6555,EW44528,120,121,122,22/08/07,August,-3.055,56.30486989,Autumn
3705,6555,EW44528,120,121,122,23/08/07,August,-2.905,56.59755686,Autumn
3706,6555,EW44528,120,121,122,23/08/07,August,-2.9,56.78636959,Autumn
3707,6555,EW44528,120,121,122,24/08/07,August,-3.095,56.94293047,Autumn
3708,6555,EW44528,120,121,122,24/08/07,August,-3.1425,56.96843223,Autumn
