logger,ring,sex,long_mva,lat_mva,date,Month,Month_num,year_retrieved,logger_type,Feather.ID,Period
M222,M82382,M,2.285451686,52.77279927,01/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.300816108,52.80540769,02/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.907450672,52.98058155,03/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.446076841,53.52650036,04/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.245808221,53.4965327,05/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.734773779,53.3862565,06/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.89097165,52.8422555,07/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.616505511,53.56825025,08/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.223877864,53.21045765,09/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.387869176,53.44813045,10/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.517698602,53.11617037,11/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.421014761,53.51694246,12/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.426251186,53.49415258,13/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,1.773531015,53.20284338,14/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.270724575,53.02379106,15/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.356842331,52.78631617,16/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.457748493,52.61412501,17/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.406724305,52.23718121,18/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.588923963,52.31696015,19/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.927743947,52.64089273,20/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,3.093833931,53.09706323,21/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,3.122873528,52.98232928,22/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,3.015227293,52.62950311,23/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.779108074,52.69735866,24/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.732496176,52.90003629,25/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.919233003,53.92392071,26/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.708300489,54.12388556,27/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.569182485,54.06593738,28/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.058325496,53.12149393,29/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,2.92964082,53.70250026,30/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,3.204017728,53.76800419,31/01/2015,January,1,2015,Migratech,35,WinterSpring
M222,M82382,M,3.34560549,53.80402988,01/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,2.588454322,53.04541513,02/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,2.402762535,52.87142588,03/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,1.783848722,52.62169287,04/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,0.089985042,52.20500483,05/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.517472869,52.94282118,06/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.442817738,53.67129113,07/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.128010607,54.30409815,08/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.22373814,54.15193488,09/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.937353841,55.38828956,10/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.071512348,55.82740965,11/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.787689916,56.37103198,12/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.041992632,56.07966202,13/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.795303801,57.36060471,14/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.905075979,57.07553948,15/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.077412085,57.08900531,17/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.439011588,55.31434824,18/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.603192461,54.40547351,19/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.458758833,52.9891321,20/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.373744976,52.8975982,21/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.303732873,53.23152665,22/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.714413467,54.86752931,23/02/2015,February,2,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.297247375,55.88536311,06/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.018884981,55.93002063,07/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,0.423004645,55.36828073,08/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,0.653661993,55.6941358,09/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-0.459957002,56.95314822,10/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.557188797,57.47932316,11/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.609968517,55.62034354,12/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-1.718981254,54.29511828,13/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.084616179,54.31579016,14/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-3.127936297,56.18534648,15/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-3.528030882,57.43758716,16/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-3.304594354,57.30632813,17/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.84600878,56.79240607,18/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.582663009,57.15388169,19/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.121025733,57.13621467,20/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.39378888,57.3688209,21/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.537703284,56.50212266,22/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.999937684,55.49555619,23/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.933853802,55.51152519,24/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.038376904,55.91219963,25/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.026260244,57.24756569,26/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.457801025,57.2639056,27/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-3.628457195,57.26213398,28/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-3.711672679,56.99179924,29/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-3.329688414,56.88635228,30/04/2015,April,4,2015,Migratech,35,WinterSpring
M222,M82382,M,-2.95163712,56.57606604,01/05/2015,May,5,2015,Migratech,35,Summer
M222,M82382,M,-3.26922199,56.12120155,02/05/2015,May,5,2015,Migratech,35,Summer
M222,M82382,M,-3.15367978,55.33954901,04/05/2015,May,5,2015,Migratech,35,Summer
M222,M82382,M,-3.127895493,55.4602768,05/05/2015,May,5,2015,Migratech,35,Summer
M222,M82382,M,-2.964188485,56.12213319,06/05/2015,May,5,2015,Migratech,35,Summer
M222,M82382,M,-2.720826713,56.24423847,07/05/2015,May,5,2015,Migratech,35,Summer
